Code Case Number,Address,Code Case Opened Date,Code Case Type,Code Case Closed Date,Code Case District,Code Case Status,Code Case Description
OHN-011347-2020,"5307 GODAS CIR
COLUMBIA, MO 65202",9/1/2020,ONS - Health Nuisance,9/23/2020,Third,Resolved,TRASH ALL OVER THE PLACE. FRONT YARD A MESS AND IN STREET ALSO
OHN-011352-2020,"5411 KELSEY DR
COLUMBIA, MO 65202",9/1/2020,ONS - Health Nuisance,10/15/2020,Third,Resolved,"WASHER & DRYER IN YARD BY HOUSE,DEBRIS"
OTOE-011358-2020,"1317 GODAS DR
COLUMBIA, MO 65202",9/1/2020,ONS - Residential Solid Waste Violation,9/23/2020,Third,Resolved,toe
OHN-011357-2020,"1401 GODAS DR
COLUMBIA, MO 65202",9/1/2020,ONS - Health Nuisance,9/23/2020,Third,Resolved,PILE OF DEBRIS IN FRONT OF THE HOUSE
OLM-011359-2020,"1319 GODAS DR
COLUMBIA, MO 65202",9/1/2020,ONS - Landscape Management,10/15/2020,Third,Voided,tall grass and weeds
OSSV-011349-2020,"5307 GODAS CIR
COLUMBIA, MO 65202",9/1/2020,ONS - Streets and Sidewalks Violation,9/8/2020,Third,Resolved,TRASH CANS ON SIDEWALK
OPM-011360-2020,"3004 HADEN DR
COLUMBIA, MO 65202",9/1/2020,ONS - Property Maintenance,7/6/2022,Second,Closed,garage door issues
OHN-011350-2020,"404 S COLLEGE AVE
COLUMBIA, MO 65201",9/1/2020,ONS - Health Nuisance,9/4/2020,Sixth,Resolved,LOOSE TRASH SCATTERED
OHN-011354-2020,"8 N KEENE ST Unit: LAND
COLUMBIA, MO 65201",9/1/2020,ONS - Health Nuisance,9/4/2020,Third,Resolved,"MATTRESS AND BAGS OF TRASH AT THE DUMPSTER, SOUTH OF ALBANY DR"
OTOE-011356-2020,"1405 GODAS DR
COLUMBIA, MO 65202",9/1/2020,ONS - Residential Solid Waste Violation,9/8/2020,Third,Resolved,TOE
OZPARK-011370-2020,"3004 EAST HENLEY DR
COLUMBIA, MO 65202",9/2/2020,ONS -  Residential Parking Violation,9/24/2020,Third,Resolved,FORD SUV PARKED ON THE GRASS
OSSV-011378-2020,"4403 JEANA CT
COLUMBIA, MO 65203",9/2/2020,ONS - Streets and Sidewalks Violation,10/1/2020,Fourth,Resolved,"furniture, trash, debris at curb"
OLM-011395-2020,"1411 ROSEMARY LN
COLUMBIA, MO 65201",9/2/2020,ONS - Landscape Management,10/13/2020,Sixth,Resolved,"WEEDS/GRASS OVER 12 INCHES TALL, VEGETATION OVER SIDEWALK"
OHN-011396-2020,"1514 ROSEMARY LN
COLUMBIA, MO 65201",9/2/2020,ONS - Health Nuisance,9/22/2020,Sixth,Resolved,"loose trash, couch outside"
OHN-011397-2020,"1512 ROSEMARY LN
COLUMBIA, MO 65201",9/2/2020,ONS - Health Nuisance,9/28/2020,Sixth,Resolved,"TRASH CAN FULL, LOOSE TRASH SCATTERED"
OTOE-011379-2020,"4403 JEANA CT
COLUMBIA, MO 65203",9/2/2020,ONS - Residential Solid Waste Violation,9/10/2020,Fourth,Resolved,"furniture, trash, debris at curb"
OLM-011371-2020,"706 SONDRA AVE
COLUMBIA, MO 65202",9/2/2020,ONS - Landscape Management,9/9/2020,Second,Resolved,YARD NEEDS MOWING
OHN-011380-2020,"1009 N EIGHTH ST
COLUMBIA, MO 65201",9/2/2020,ONS - Health Nuisance,9/9/2020,First,Resolved,PILE OF TRASH AT THE CURB
OTOE-011368-2020,"2509 GLENN DR
COLUMBIA, MO 65202",9/2/2020,ONS - Residential Solid Waste Violation,9/9/2020,Second,Resolved,"boxes at curb, TOE"
OTOE-011369-2020,"1600 UNIVERSITY AVE
COLUMBIA, MO 65201",9/2/2020,ONS - Residential Solid Waste Violation,9/9/2020,Sixth,Resolved,"toe, trash can at curb"
OSSV-011387-2020,"1306 ANTHONY ST
COLUMBIA, MO 65201",9/3/2020,ONS - Streets and Sidewalks Violation,9/29/2020,Sixth,Resolved,VEGETATION GROWING OVER THE SIDEWALK
OHN-011402-2020,"1507 WILSON AVE
COLUMBIA, MO 65201",9/3/2020,ONS - Health Nuisance,9/29/2020,Sixth,Resolved,loose trash
OZPARK-011392-2020,"2706 QUAIL DR
COLUMBIA, MO 65202",9/3/2020,ONS -  Residential Parking Violation,9/29/2020,Third,Resolved,"TRAILER IN THE FRONT YARD, ON GRASS"
OLM-011389-2020,"1628 ANTHONY ST
COLUMBIA, MO 65201",9/3/2020,ONS - Landscape Management,9/28/2020,Sixth,Resolved,tall grass
OHN-011391-2020,"1801 NELWOOD DR
COLUMBIA, MO 65202",9/3/2020,ONS - Health Nuisance,9/25/2020,Third,Resolved,MATTRESS AT CURB
OPM-011399-2020,"2707 QUAIL DR
COLUMBIA, MO 65202",9/3/2020,ONS - Property Maintenance,12/24/2020,Third,Resolved,Mouse insect infestation
OTOE-011398-2020,"2508 QUAIL DR
COLUMBIA, MO 65202",9/3/2020,ONS - Residential Solid Waste Violation,9/22/2020,Third,Resolved,TOE
OTOE-011388-2020,"401 S COLLEGE AVE
COLUMBIA, MO 65201",9/3/2020,ONS - Residential Solid Waste Violation,9/23/2020,First,Resolved,toe
OTOE-011386-2020,"205 S COLLEGE AVE
COLUMBIA, MO 65201",9/3/2020,ONS - Residential Solid Waste Violation,9/10/2020,First,Resolved,toe
OHN-011394-2020,"407 S ANN ST
COLUMBIA, MO 65201",9/3/2020,ONS - Health Nuisance,9/29/2020,Sixth,Resolved,loose trash - front yard
OTOE-011400-2020,"2601 QUAIL DR
COLUMBIA, MO 65202",9/3/2020,ONS - Residential Solid Waste Violation,9/9/2020,Third,Resolved,TOE
OTOE-011390-2020,"1415 ROSS ST
COLUMBIA, MO 65201",9/3/2020,ONS - Residential Solid Waste Violation,9/10/2020,Sixth,Resolved,roll cart at curb - East Campus
OLM-011410-2020,"904 HOPE PL
COLUMBIA, MO 65203",9/4/2020,ONS - Landscape Management,9/15/2020,First,Resolved,TALL GRASS AND WEEDS
OLM-011411-2020,"2513 WILLOWBROOK CT
COLUMBIA, MO 65202",9/4/2020,ONS - Landscape Management,10/2/2020,Third,Resolved,"vegetation growing into street, between the fence and street"
OTOE-011436-2020,"605 N WILLIAM ST
COLUMBIA, MO 65201",9/8/2020,ONS - Residential Solid Waste Violation,9/16/2020,Third,Resolved,"rollcart FULL AND AT CURB, BAG OF TRASH AT CURB"
OLM-011433-2020,"1615 HINKSON AVE
COLUMBIA, MO 65201",9/8/2020,ONS - Landscape Management,10/9/2020,Third,Resolved,tall grass
OSSV-011438-2020,"5319 GODAS CIR
COLUMBIA, MO 65202",9/8/2020,ONS - Streets and Sidewalks Violation,9/23/2020,Third,Resolved,TWO FILLED TRASH CANS SITTING ON THE SIDEWALK
OLM-011434-2020,"409 MCBAINE AVE
COLUMBIA, MO 65203",9/8/2020,ONS - Landscape Management,9/11/2020,First,Resolved,WEEDS VERY BAD 
OHN-011431-2020,"201 DEFOE DR
COLUMBIA, MO 65203",9/8/2020,ONS - Health Nuisance,9/24/2020,Fourth,Resolved,"SEE NOTES THIS WAS NEXT DOOR TO THE ORIGINAL COMPLAINT
BIG DEAD TREE IN THE BACKYARD OF 201 DEFOE, NOT SURE HOW HIS COMPLAINANT MISSED SUCH A LARGE DEAD TREE.  THE TREE IN THE FRONT YAR OF 3810 DEFOE IS VERY SMALL.  I TOOK A PHOTO LF"
OHN-011435-2020,"2513 WILLOWBROOK CT
COLUMBIA, MO 65202",9/8/2020,ONS - Health Nuisance,9/24/2020,Third,Resolved,TREE WITH DEAD LIMBS BY STREET
OHN-011430-2020,"3810 DEFOE DR
COLUMBIA, MO 65203",9/8/2020,ONS - Health Nuisance,11/30/2020,Fourth,Resolved,"pile of limbs SEE NOTES!  NOT LIMB, BUT FIREWOOD"
OHN-011423-2020,"2400 CHURCHILL CT
COLUMBIA, MO 65201",9/8/2020,ONS - Health Nuisance,10/14/2020,Sixth,Resolved,"ACCUMULATION OF TRASH AND GARBAGE, BOXES"
OHN-011425-2020,"1920 W BROADWAY
COLUMBIA, MO 65203",9/8/2020,ONS - Health Nuisance,9/22/2020,Fourth,Resolved,pile of debris
OTOE-011428-2020,"104 BRIGHT STAR DR
COLUMBIA, MO 65203",9/8/2020,ONS - Residential Solid Waste Violation,9/11/2020,Fourth,Resolved,loose trash bag and smells  
OHN-011471-2020,"1421 DORIS DR Unit: APT A
COLUMBIA, MO 65202",9/9/2020,ONS - Health Nuisance,9/23/2020,Second,Resolved,"trash, furniture, appliances"
OLM-011456-2020,"5110 SILVER MILL DR Unit: LAND
COLUMBIA, MO 65202",9/9/2020,ONS - Landscape Management,10/19/2020,Second,Closed,tall grass
OLM-011440-2020,"304 BOURN AVE
COLUMBIA, MO 65203",9/9/2020,ONS - Landscape Management,12/15/2020,Fourth,Resolved,North side of house at property line there are at least 3-4 feet tall weeds
OLM-011461-2020,"5006 SILVER MILL DR
COLUMBIA, MO 65202",9/9/2020,ONS - Landscape Management,9/30/2020,Second,Resolved,THERE ARE TURF WEEDS AND TURF GRASS OVER TWELVE INCHES TALL ON THE PROPERTY.
OLM-011443-2020,"1512 CHADWICK CT
COLUMBIA, MO 65203",9/9/2020,ONS - Landscape Management,10/9/2020,Fifth,Resolved,BUSH AND TALL WEEDS
OUV-011497-2020,"1008 JEWELL AVE
COLUMBIA, MO 65203",9/9/2020,ONS - Health Unlicensed Vehicle,11/25/2020,First,Resolved,multiple addresses- nuisance vehicles  9 DIFFERENT PROPERTIES FOUND 5 MORE IN THE AREAS
OLM-011460-2020,"5100 SILVER MILL DR
COLUMBIA, MO 65202",9/9/2020,ONS - Landscape Management,9/30/2020,Second,Resolved,THERE ARE TURF WEEDS AND TURF GRASS OVER TWELVE INCHES TALL ON THE PROPERTY.
OSSV-011441-2020,"2807 WOODED CREEK DR
COLUMBIA, MO 65203",9/9/2020,ONS - Streets and Sidewalks Violation,9/24/2020,Fourth,Resolved,tree blocking sidewalk
OLM-011442-2020,"1508 CHADWICK CT
COLUMBIA, MO 65203",9/9/2020,ONS - Landscape Management,9/17/2020,Fifth,Resolved,BUSH AND TALL WEEDS
OUV-011492-2020,"17 FOURTH AVE
COLUMBIA, MO 65203",9/9/2020,ONS - Health Unlicensed Vehicle,10/19/2020,First,Resolved,multiple addresses- nuisance vehicles  9 DIFFERENT PROPERTIES FOUND 5 MORE IN THE AREAS
OHN-011472-2020,"1614 CITADEL DR
COLUMBIA, MO 65202",9/9/2020,ONS - Health Nuisance,9/30/2020,Second,Resolved,PILE OF TRASH OUT FRONT - FROM DAVID BROCKHOUSE
OZPARK-011449-2020,"2708 NORTH WILLOWBROOK RD
COLUMBIA, MO 65202",9/9/2020,ONS -  Residential Parking Violation,9/21/2020,Third,Resolved,TWO VEHICLES IN YARD
OLM-011457-2020,"5112 SILVER MILL DR
COLUMBIA, MO 65202",9/9/2020,ONS - Landscape Management,9/30/2020,Second,Resolved,TALL WEEDS AND GRASS
OTOE-011439-2020,"100 SONDRA AVE
COLUMBIA, MO 65202",9/9/2020,ONS - Residential Solid Waste Violation,9/11/2020,Second,Resolved,TOE DOESN'T MEET SPEC PER SOLID WASTE JEFF HETHER
OLM-011458-2020,"5108 SILVER MILL DR
COLUMBIA, MO 65202",9/9/2020,ONS - Landscape Management,9/30/2020,Second,Resolved,THERE ARE TURF WEEDS AND TURF GRASS OVER TWELVE INCHES TALL ON THE PROPERTY.
OLM-011493-2020,"17 FOURTH AVE
COLUMBIA, MO 65203",9/9/2020,ONS - Landscape Management,9/17/2020,First,Resolved,WEEDS HIGH BEHIND UNLIC BLACK CAR
OLM-011453-2020,"2913 LAKE TOWN DR
COLUMBIA, MO 65203",9/9/2020,ONS - Landscape Management,9/24/2020,Fourth,Resolved,branches over Scott Blvd.  from CHAPEL HILL TO MKT TRAIL ACCESS
OUV-011487-2020,"1001 GRAND AVE
COLUMBIA, MO 65203",9/9/2020,ONS - Health Unlicensed Vehicle,10/19/2020,First,Resolved,multiple addresses- nuisance vehicles  9 DIFFERENT PROPERTIES FOUND 5 MORE IN THE AREAS
OLM-011465-2020,"5111 SILVER MILL DR
COLUMBIA, MO 65202",9/9/2020,ONS - Landscape Management,9/30/2020,Second,Resolved,THERE ARE TURF WEEDS AND TURF GRASS OVER TWELVE INCHES TALL ON THE PROPERTY.
OZPARK-011452-2020,"2507 WILLOWBROOK CT
COLUMBIA, MO 65202",9/9/2020,ONS -  Residential Parking Violation,9/21/2020,Third,Resolved,BLUE DODGE CARAVAN PARKED IN FRONT YARD
OLM-011462-2020,"230 WHITE RIVER DR
COLUMBIA, MO 65202",9/9/2020,ONS - Landscape Management,9/30/2020,Second,Resolved,THERE ARE TURF WEEDS AND TURF GRASS OVER TWELVE INCHES TALL ON THE PROPERTY.
OLM-011455-2020,"103 FYFER PL
COLUMBIA, MO 65201",9/9/2020,ONS - Landscape Management,9/29/2020,Sixth,Resolved,TALL GRASS AND WEEDS
OLM-011469-2020,"5205 SILVER MILL DR
COLUMBIA, MO 65202",9/9/2020,ONS - Landscape Management,9/30/2020,Second,Resolved,THERE ARE TURF WEEDS AND TURF GRASS OVER TWELVE INCHES TALL ON THE PROPERTY.
OUV-011498-2020,"1014 JEFFERSON ST
COLUMBIA, MO 65203",9/9/2020,ONS - Health Unlicensed Vehicle,10/19/2020,First,Resolved,multiple addresses- nuisance vehicles  9 DIFFERENT PROPERTIES FOUND 5 MORE IN THE AREAS
OUV-011496-2020,"18 FOURTH AVE
COLUMBIA, MO 65203",9/9/2020,ONS - Health Unlicensed Vehicle,11/13/2020,First,Resolved,multiple addresses- nuisance vehicles  9 DIFFERENT PROPERTIES FOUND 5 MORE IN THE AREAS
OHN-011468-2020,"1905 NEWTON DR
COLUMBIA, MO 65202",9/9/2020,ONS - Health Nuisance,9/16/2020,Second,Resolved,bags of trash on s side of house
OLM-011470-2020,"5309 SILVER MILL DR
COLUMBIA, MO 65202",9/9/2020,ONS - Landscape Management,9/30/2020,Second,Resolved,THERE ARE TURF WEEDS AND TURF GRASS OVER TWELVE INCHES TALL ON THE PROPERTY.
OLM-011467-2020,"5201 SILVER MILL DR
COLUMBIA, MO 65202",9/9/2020,ONS - Landscape Management,9/30/2020,Second,Resolved,THERE ARE TURF WEEDS AND TURF GRASS OVER TWELVE INCHES TALL ON THE PROPERTY.
OLM-011466-2020,"5115 SILVER MILL DR
COLUMBIA, MO 65202",9/9/2020,ONS - Landscape Management,9/30/2020,Second,Resolved,THERE ARE TURF WEEDS AND TURF GRASS OVER TWLEVE INCHES TALL ON THE PROPERTY.
OZPARK-011491-2020,"1001 GRAND AVE
COLUMBIA, MO 65203",9/9/2020,ONS -  Residential Parking Violation,10/19/2020,First,Resolved,PARKING ON GRASS
OLM-011459-2020,"5104 SILVER MILL DR
COLUMBIA, MO 65202",9/9/2020,ONS - Landscape Management,9/30/2020,Second,Resolved,THERE ARE TURF WEEDS AND TURF GRASS OVER TWELVE INCHES TALL ON THE PROPERTY.
OSSV-011445-2020,"1512 CHADWICK CT
COLUMBIA, MO 65203",9/9/2020,ONS - Streets and Sidewalks Violation,10/9/2020,Fifth,Resolved,BUSH OBSTRUCTING SIDEWALK
OHN-011477-2020,"1421 DORIS DR Unit: APT B
COLUMBIA, MO 65202",9/9/2020,ONS - Health Nuisance,9/23/2020,Second,Resolved,"trash, furniture, appliances NOT SURE WHICH OCCUPANTS OWN THE ITEMS OUTSIDE   ON GOING YARD SALE PER NEIGHBORS"
OUV-011486-2020,"12 E FOREST AVE
COLUMBIA, MO 65203",9/9/2020,ONS - Health Unlicensed Vehicle,11/16/2020,First,Resolved,multiple addresses- nuisance vehicles  9 DIFFERENT PROPERTIES FOUND 5 MORE IN THE AREAS
OHN-011454-2020,"2800 S PROVIDENCE RD
COLUMBIA, MO 65203",9/9/2020,ONS - Health Nuisance,9/10/2020,Sixth,Resolved,piles of trash and furnitre in the front yard and on the driveway.  Stuff piled along side the house
OUV-011476-2020,"1421 DORIS DR Unit: APT B
COLUMBIA, MO 65202",9/9/2020,ONS - Health Unlicensed Vehicle,10/30/2020,Second,Resolved,"trash, furniture, appliances UNLICENSED BLACK DARK COLOR JEEP"
OLM-011490-2020,"14 E FOREST AVE
COLUMBIA, MO 65203",9/9/2020,ONS - Landscape Management,9/22/2020,First,Resolved,multiple addresses- nuisance vehicles  9 DIFFERENT PROPERTIES FOUND 5 MORE IN THE AREAS
OLM-011483-2020,"705 W WORLEY ST
COLUMBIA, MO 65203",9/9/2020,ONS - Landscape Management,9/22/2020,First,Resolved,"very tall weeds, weeds are coming through the fence"
OUV-011488-2020,"14 E FOREST AVE
COLUMBIA, MO 65203",9/9/2020,ONS - Health Unlicensed Vehicle,10/19/2020,First,Resolved,multiple addresses- nuisance vehicles  9 DIFFERENT PROPERTIES FOUND 5 MORE IN THE AREAS
OHN-011489-2020,"14 E FOREST AVE
COLUMBIA, MO 65203",9/9/2020,ONS - Health Nuisance,9/22/2020,First,Resolved,"multiple addresses- nuisance vehicles original complaint
I FOUND A COUCH, WEEDS, TIRES AND UNLIC CAR ON THIS PROPERTY."
OLM-011480-2020,"7 E THURMAN ST
COLUMBIA, MO 65202",9/9/2020,ONS - Landscape Management,9/16/2020,Second,Resolved,GRASS/WEEDS 4-5 FT TALL
OHN-011495-2020,"115 FYFER PL
COLUMBIA, MO 65201",9/10/2020,ONS - Health Nuisance,11/16/2020,Sixth,Resolved,3 DEAD TREES IN THE BACKYARD
OPM-011901-2020,"2418 QUAIL DR
COLUMBIA, MO 65202",9/10/2020,ONS - Property Maintenance,1/26/2022,Third,Resolved,LEAKING FOUNDATION
OLM-011481-2020,"805 N SEVENTH ST
COLUMBIA, MO 65201",9/10/2020,ONS - Landscape Management,10/1/2020,First,Resolved,tall grass 
OLM-011482-2020,"803 N SEVENTH ST
COLUMBIA, MO 65201",9/10/2020,ONS - Landscape Management,9/30/2020,First,Resolved,THERE ARE TURF WEEDS AND TURF GRASS OVER TWELVE INCHES TALL ON THE PROPERTY.
OUV-011509-2020,"6 GRANADA BLVD
COLUMBIA, MO 65203",9/11/2020,ONS - Health Unlicensed Vehicle,10/20/2020,Fifth,Resolved,UNLICENSED VEHICLE IN PARKING LOT ON RIGHT SIDE WHITE SUV
OLM-011504-2020,"1500 PATSY LN
COLUMBIA, MO 65203",9/11/2020,ONS - Landscape Management,10/1/2020,First,Resolved,weeds
OLM-011506-2020,"2309 GARDEN DR
COLUMBIA, MO 65202",9/11/2020,ONS - Landscape Management,10/23/2020,Second,Resolved,back yard is overgrown
OLM-011512-2020,"105 ALDEAH AVE
COLUMBIA, MO 65203",9/11/2020,ONS - Landscape Management,11/6/2020,First,Resolved,"overgrown backyard, obst of sidewalk and "
OUV-011507-2020,"2309 GARDEN DR
COLUMBIA, MO 65202",9/11/2020,ONS - Health Unlicensed Vehicle,11/11/2020,Second,Resolved,WEEDS AND AN UNLICENSED CRYSLER SEBRING  SISTER OF VICKY LIVING HERE
OHN-011505-2020,"809 HOPE PL
COLUMBIA, MO 65203",9/11/2020,ONS - Health Nuisance,9/22/2020,First,Resolved,MORE ITEMS ADDED TO PROPERTY
OLM-011551-2020,"818 CYPRESS LN
COLUMBIA, MO 65203",9/14/2020,ONS - Landscape Management,11/10/2020,Fifth,Resolved,PARKING TRAILER ON THE GRASS W SIDE OF PROPERTY PER DAVID B
OLM-011552-2020,"2716 CIMARRON DR
COLUMBIA, MO 65203",9/14/2020,ONS - Landscape Management,9/28/2020,Fifth,Resolved,tree debris
OHN-011560-2020,"710 COOK AVE
COLUMBIA, MO 65203",9/14/2020,ONS - Health Nuisance,10/1/2020,First,Resolved,BIG PILES OF CUT DEBRIS IN THE FRONT YARD
OHN-011553-2020,"2716 CIMARRON DR
COLUMBIA, MO 65203",9/14/2020,ONS - Health Nuisance,10/20/2020,Fifth,Resolved,tree debris
OHN-011546-2020,"2817 MELODY LN
COLUMBIA, MO 65203",9/14/2020,ONS - Health Nuisance,11/4/2020,Fifth,Resolved,"2817, 2815, 2813 & 2811 ALL HAVE DEBRIS AROUND EACH DUPLEX AND BACKYARDS"
OZPARK-011549-2020,"818 CYPRESS LN
COLUMBIA, MO 65203",9/14/2020,ONS -  Residential Parking Violation,10/20/2020,Fifth,Resolved,PARKING TRAILER ON THE GRASS W SIDE OF PROPERTY PER DAVID B
OLM-011558-2020,"422 LASALLE PL
COLUMBIA, MO 65203",9/14/2020,ONS - Landscape Management,9/23/2020,First,Resolved,WEEDS BEHIND FENCE TO CURB OF E WORLEY IS OVER GROWN
OLM-011559-2020,"204 E WORLEY ST
COLUMBIA, MO 65203",9/14/2020,ONS - Landscape Management,9/15/2020,First,Resolved,WEEDS OVER 12 
OSSV-011567-2020,"223 NIKKI WAY
COLUMBIA, MO 65203",9/15/2020,ONS - Streets and Sidewalks Violation,9/25/2020,Fifth,Resolved,ANONYMOUS CALLER REPORTED THAT BOTH SIDEWALKS ON CARRIERIDGE DR ARE BLOCKED BY A LOW HANGING TREE AND HUMONGOUS BUSH NEAR DOROTHY DEAN DR.
OLM-011557-2020,"1515 MILLS DR
COLUMBIA, MO 65203",9/15/2020,ONS - Landscape Management,9/24/2020,Fourth,Resolved,The entire yard is full of weeds and grass more than 1 foot tall
OZPARK-011591-2020,"16 FOURTH AVE
COLUMBIA, MO 65203",9/15/2020,ONS -  Residential Parking Violation,9/17/2020,First,Resolved,WHITE GRAND PRIX PARKING ON GRASS SEE ORIGINAL REQUEST #5949
OUV-011573-2020,"904 HOPE PL
COLUMBIA, MO 65203",9/15/2020,ONS - Health Unlicensed Vehicle,11/5/2020,First,Resolved,2 FORDS ON THE DRIVEWAY WITH EXPIRED PLATES
OHN-011597-2020,"15 FOURTH AVE
COLUMBIA, MO 65203",9/15/2020,ONS - Health Nuisance,10/19/2020,First,Resolved,DEAD TREE IN BACKYARD THAT HAS FALLEN ONTO THE BACK OF THE HOUSE
OLM-011556-2020,"2605 LIMERICK LN
COLUMBIA, MO 65203",9/15/2020,ONS - Landscape Management,9/24/2020,Fourth,Resolved,"tall grass, vacant house"
OLM-011561-2020,"4416 SILVER VALLEY DR
COLUMBIA, MO 65203",9/15/2020,ONS - Landscape Management,9/24/2020,Fifth,Resolved,TALL WEEDS
OSSV-011568-2020,"213 DOROTHY DEAN DR
COLUMBIA, MO 65203",9/15/2020,ONS - Streets and Sidewalks Violation,9/24/2020,Fifth,Resolved,ANONYMOUS CALLER REPORTED THAT BOTH SIDEWALKS ON CARRIERIDGE DR ARE BLOCKED BY A LOW HANGING TREE AND HUMONGOUS BUSH NEAR DOROTHY DEAN DR.
OLM-011571-2020,"5005 CARRIERIDGE DR
COLUMBIA, MO 65203",9/15/2020,ONS - Landscape Management,9/24/2020,Fifth,Resolved,ANONYMOUS CALLER REPORTED THAT BOTH SIDEWALKS ON CARRIERIDGE DR ARE BLOCKED BY A LOW HANGING TREE AND HUMONGOUS BUSH NEAR DOROTHY DEAN DR.
OHN-011575-2020,"19 FOURTH AVE
COLUMBIA, MO 65203",9/15/2020,ONS - Health Nuisance,12/15/2020,First,Referred to Prosecutor,STAGNANT WATER IN LARGE HOLE AND WEEDS ON THIS PROPERTY
OSSV-011569-2020,"301 DOROTHY DEAN DR
COLUMBIA, MO 65203",9/15/2020,ONS - Streets and Sidewalks Violation,9/24/2020,Fifth,Resolved,ANONYMOUS CALLER REPORTED THAT BOTH SIDEWALKS ON CARRIERIDGE DR ARE BLOCKED BY A LOW HANGING TREE AND HUMONGOUS BUSH NEAR DOROTHY DEAN DR.
OLM-011555-2020,"507 W SEXTON RD
COLUMBIA, MO 65203",9/15/2020,ONS - Landscape Management,10/1/2020,First,Resolved,WEEDS
OPM-011603-2020,"1514 ROSEMARY LN
COLUMBIA, MO 65201",9/16/2020,ONS - Property Maintenance,1/14/2022,Sixth,Resolved,POOL IN YARD; HOUSE NUMBERS NOT CONTRASTING
OLM-011595-2020,"5456 HEATH CT
COLUMBIA, MO 65203",9/16/2020,ONS - Landscape Management,12/15/2020,Fifth,Resolved,weeds on Heath Court
OLM-011592-2020,"5424 HEATH CT
COLUMBIA, MO 65203",9/16/2020,ONS - Landscape Management,12/15/2020,Fifth,Resolved,weeds on Heath Court
OLM-011598-2020,"5460 HEATH CT
COLUMBIA, MO 65203",9/16/2020,ONS - Landscape Management,12/15/2020,Fifth,Resolved,weeds on Heath Court
OLM-011593-2020,"5429 HEATH CT
COLUMBIA, MO 65203",9/16/2020,ONS - Landscape Management,12/15/2020,Fifth,Resolved,weeds on Heath Court
OHN-011608-2020,"907 RAIN FOREST PKWY
COLUMBIA, MO 65202",9/16/2020,ONS - Health Nuisance,9/18/2020,Second,Resolved,trash and vegetation behind school fence
OLM-011596-2020,"15 FOURTH AVE
COLUMBIA, MO 65203",9/16/2020,ONS - Landscape Management,10/5/2020,First,Resolved,weeds
OLM-011606-2020,"550 STONE VALLEY PKWY
COLUMBIA, MO 65203",9/16/2020,ONS - Landscape Management,10/7/2020,Fourth,Resolved,"SIDE OF THE ROAD ALONG WESTBURY, STONE VALLEY, FAUROT, AND SMITH"
OLM-011590-2020,"5405 HEATH CT
COLUMBIA, MO 65203",9/16/2020,ONS - Landscape Management,12/15/2020,Fifth,Resolved,weeds on Heath Court
OLM-011594-2020,"5437 HEATH CT
COLUMBIA, MO 65203",9/16/2020,ONS - Landscape Management,12/15/2020,Fifth,Resolved,weeds on Heath Court
OLM-011599-2020,"5468 HEATH CT
COLUMBIA, MO 65203",9/16/2020,ONS - Landscape Management,12/15/2020,Fifth,Resolved,weeds on Heath Court
OLM-011601-2020,"704 ENGLE DR
COLUMBIA, MO 65203",9/16/2020,ONS - Landscape Management,1/4/2021,Fifth,Closed,weeds on Heath Court
OHN-011607-2020,"908 DINWIDDIE CIR Unit: CELL
COLUMBIA, MO 65202",9/16/2020,ONS - Health Nuisance,10/1/2020,Second,Resolved,trash and vegetation behind school fence
OLM-011605-2020,"908 DINWIDDIE CIR Unit: CELL
COLUMBIA, MO 65202",9/16/2020,ONS - Landscape Management,10/1/2020,Second,Resolved,trash and vegetation behind school fence
OPM-011604-2020,"400 S COLLEGE AVE
COLUMBIA, MO 65201",9/16/2020,ONS - Property Maintenance,10/29/2020,Sixth,Resolved,downspout draining to sidewalk
OTOE-011622-2020,"407 W WORLEY ST
COLUMBIA, MO 65203",9/16/2020,ONS - Residential Solid Waste Violation,9/22/2020,First,Resolved,LARGE PILE OF TOE FOUND ON WEDNESDAY 9-16  
OLM-011610-2020,"2801 GREENBRIAR DR
COLUMBIA, MO 65203",9/17/2020,ONS - Landscape Management,9/25/2020,Fifth,Resolved,tall grass
OTOE-011623-2020,"613 BANKS AVE
COLUMBIA, MO 65203",9/17/2020,ONS - Residential Solid Waste Violation,9/17/2020,First,Resolved,"TOE LARGE AMOUNT OF MOVE OUT TRASH, OWNER DECEASED 6-2020  REFERRED TO SOLID WASTE"
OLM-011611-2020,"401 GRAPEVINE CT
COLUMBIA, MO 65203",9/17/2020,ONS - Landscape Management,1/15/2021,Fifth,Resolved,tall grass  referred to prosecutor- see email from Robert 
OSSV-011663-2020,"900 S FAIRVIEW RD
COLUMBIA, MO 65203",9/17/2020,ONS - Streets and Sidewalks Violation,9/24/2020,Fourth,Resolved,VEHICLE PARKING OVER SIDEWALK  OBSTRUCTION.  
OHN-011667-2020,"702 HUNT AVE
COLUMBIA, MO 65203",9/21/2020,ONS - Health Nuisance,10/6/2020,First,Resolved,MATTRESS AT CURB AND TOE
OPM-011660-2020,"2801 NORTH WILLOWBROOK RD
COLUMBIA, MO 65202",9/21/2020,ONS - Property Maintenance,3/2/2021,Third,Closed,FENCE IN DISREPAIR; PREVIOUS ISSUES - PEELING PAINT
